gene_name,chromosome,orientation,putative_genic_variant,nb_denovo_transcripts,transcript_name,transcript_start_in_genome_B1,transcript_end_in_genome_B1,nb_filtered_orf,neORF_candidate,neORF_start_in_genome_B0,neORF_end_in_genome_B0,genomic_overlap
STRG.7556,2L_Chromosome,+,denovo,1,STRG.7556.3,6601970,6602668,1,STRG.7556.3_1_243_347,6602211,6602318,intergenic_transcripts
STRG.7631,2L_Chromosome,+,denovo,1,STRG.7631.1,7184691,7187641,1,STRG.7631.1_6_2171_2503,7186860,7187195,intergenic_transcripts
STRG.7632,2L_Chromosome,-,denovo,1,STRG.7632.1,7184691,7187641,1,STRG.7632.1_1_1567_1887,7185751,7186074,intergenic_transcripts
STRG.8001,2L_Chromosome,+,denovo,1,STRG.8001.1,9674016,9675993,1,STRG.8001.1_5_1574_1846,9675714,9675989,intergenic_transcripts
STRG.8158,2L_Chromosome,-,denovo,1,STRG.8158.2,10550359,10551444,1,STRG.8158.2_1_424_645,10550796,10551020,intergenic_transcripts
STRG.8169,2L_Chromosome,+,denovo,1,STRG.8169.1,10597266,10599276,1,STRG.8169.1_3_153_266,10597417,10599131,intergenic_transcripts
STRG.8284,2L_Chromosome,-,denovo,3,STRG.8284.3,11578902,11599027,1,STRG.8284.3_63_17973_18290,11580734,11581054,intergenic_transcripts
STRG.8636,2L_Chromosome,-,denovo,2,STRG.8636.2,14345013,14345779,1,STRG.8636.2_1_622_735,14345041,14345157,intergenic_transcripts
STRG.8675,2L_Chromosome,+,denovo,1,STRG.8675.1,14708573,14709545,1,STRG.8675.1_4_644_925,14709215,14709499,intergenic_transcripts
STRG.8700,2L_Chromosome,-,denovo,2,STRG.8700.2,14914445,14915873,1,STRG.8700.2_3_776_988,14914717,14914932,intergenic_transcripts
STRG.8742,2L_Chromosome,-,denovo,2,STRG.8742.2,15283483,15285578,1,STRG.8742.2_1_481_756,15284819,15285097,intergenic_transcripts
STRG.8742,2L_Chromosome,-,denovo,2,STRG.8742.3,15283483,15284254,1,STRG.8742.3_1_253_447,15283679,15284001,intergenic_transcripts
STRG.8820,2L_Chromosome,-,denovo,1,STRG.8820.1,15927894,15928391,1,STRG.8820.1_2_152_346,15928042,15928239,intergenic_transcripts
STRG.8886,2L_Chromosome,-,denovo,1,STRG.8886.1,16525997,16526730,1,STRG.8886.1_5_306_491,16526116,16526304,intergenic_transcripts
STRG.8965,2L_Chromosome,-,denovo,1,STRG.8965.1,17362672,17366271,1,STRG.8965.1_1_250_432,17363074,17363259,intergenic_transcripts
STRG.9012,2L_Chromosome,+,denovo,2,STRG.9012.1,17796820,17797650,1,STRG.9012.1_2_107_274,17796925,17797150,intergenic_transcripts
STRG.9012,2L_Chromosome,+,denovo,2,STRG.9012.2,17796820,17797650,1,STRG.9012.2_2_107_265,17796925,17797150,intergenic_transcripts
STRG.9275,2L_Chromosome,+,denovo,1,STRG.9275.1,19568099,19569308,1,STRG.9275.1_1_295_600,19568392,19568700,intergenic_transcripts
STRG.9298,2L_Chromosome,+,denovo,1,STRG.9298.5,19787431,19796187,1,STRG.9298.5_8_4813_5226,19792242,19792658,intergenic_transcripts
STRG.9454,2L_Chromosome,-,denovo,1,STRG.9454.1,20964671,20966467,1,STRG.9454.1_4_1146_1295,20965100,20965252,intergenic_transcripts
STRG.9494,2L_Chromosome,-,denovo,1,STRG.9494.2,21132061,21134007,1,STRG.9494.2_2_1279_1416,21132588,21132728,intergenic_transcripts
STRG.9650,2L_Chromosome,+,denovo,1,STRG.9650.2,22320401,22323365,1,STRG.9650.2_1_1378_1818,22322145,22322588,intergenic_transcripts
STRG.9786,X_Chromosome,-,denovo,12,STRG.9786.3,230553,309657,1,STRG.9786.3_10_1850_2287,307118,307612,intergenic_transcripts
STRG.9867,X_Chromosome,+,denovo,1,STRG.9867.2,1017835,1018472,1,STRG.9867.2_1_204_374,1018037,1018210,intergenic_transcripts
STRG.10131,X_Chromosome,-,denovo,1,STRG.10131.2,3307776,3335526,1,STRG.10131.2_2_526_1008,3334515,3335000,intergenic_transcripts
STRG.10536,X_Chromosome,+,denovo,1,STRG.10536.1,6625374,6628644,1,STRG.10536.1_1_376_546,6628367,6628540,intergenic_transcripts
STRG.10804,X_Chromosome,-,denovo,1,STRG.10804.1,8585008,8585996,1,STRG.10804.1_1_397_675,8585318,8585599,intergenic_transcripts
STRG.10992,X_Chromosome,-,denovo,2,STRG.10992.2,10603786,10604392,1,STRG.10992.2_1_67_189,10604200,10604325,intergenic_transcripts
STRG.11159,X_Chromosome,-,denovo,1,STRG.11159.1,12090354,12091550,1,STRG.11159.1_3_399_563,12090760,12090927,intergenic_transcripts
STRG.11429,X_Chromosome,+,denovo,1,STRG.11429.1,14688845,14691787,1,STRG.11429.1_1_40_240,14688883,14691487,intergenic_transcripts
STRG.11582,X_Chromosome,-,denovo,1,STRG.11582.1,15772634,15773494,1,STRG.11582.1_3_656_787,15772651,15772785,intergenic_transcripts
STRG.12119,X_Chromosome,-,denovo,1,STRG.12119.1,20153956,20161240,1,STRG.12119.1_7_2192_2578,20158659,20159048,intergenic_transcripts
STRG.12194,X_Chromosome,+,denovo,1,STRG.12194.1,20926126,20926925,1,STRG.12194.1_3_351_560,20926546,20926758,intergenic_transcripts
STRG.13056,3R_Chromosome,-,denovo,1,STRG.13056.2,4464655,4472522,1,STRG.13056.2_7_6913_7140,4465379,4465609,intergenic_transcripts
STRG.13094,3R_Chromosome,+,denovo,1,STRG.13094.1,5131928,5132464,1,STRG.13094.1_1_329_445,5132255,5132374,intergenic_transcripts
STRG.13292,3R_Chromosome,+,denovo,1,STRG.13292.1,6486224,6494025,1,STRG.13292.1_5_6190_6432,6493454,6493699,intergenic_transcripts
STRG.13850,3R_Chromosome,+,denovo,1,STRG.13850.1,10634285,10634496,1,STRG.13850.1_1_101_196,10634384,10634482,intergenic_transcripts
STRG.13920,3R_Chromosome,-,denovo,1,STRG.13920.3,11172862,11173502,1,STRG.13920.3_3_210_344,11173155,11173292,intergenic_transcripts
STRG.13975,3R_Chromosome,+,denovo,2,STRG.13975.1,11596521,11600437,1,STRG.13975.1_13_2166_2417,11599360,11599614,intergenic_transcripts
STRG.14019,3R_Chromosome,-,denovo,1,STRG.14019.1,11895619,11897412,1,STRG.14019.1_2_1339_1485,11895846,11895995,intergenic_transcripts
STRG.14535,3R_Chromosome,+,denovo,1,STRG.14535.3,15774728,15776807,1,STRG.14535.3_9_1341_1667,15776067,15776396,intergenic_transcripts
STRG.14559,3R_Chromosome,-,denovo,1,STRG.14559.2,16033243,16037087,1,STRG.14559.2_1_409_588,16036496,16036678,intergenic_transcripts
STRG.14632,3R_Chromosome,+,denovo,1,STRG.14632.2,16731897,16732882,1,STRG.14632.2_1_238_477,16732133,16732375,intergenic_transcripts
STRG.14633,3R_Chromosome,-,denovo,1,STRG.14633.1,16731897,16732882,1,STRG.14633.1_3_341_547,16732332,16732541,intergenic_transcripts
STRG.14636,3R_Chromosome,-,denovo,3,STRG.14636.3,16762898,16763722,1,STRG.14636.3_2_371_547,16763033,16763212,intergenic_transcripts
STRG.14645,3R_Chromosome,-,denovo,1,STRG.14645.1,16798105,16799475,1,STRG.14645.1_2_760_1047,16798352,16798642,intergenic_transcripts
STRG.15036,3R_Chromosome,-,denovo,1,STRG.15036.1,20313568,20314372,1,STRG.15036.1_2_384_626,20313679,20313924,intergenic_transcripts
STRG.15220,3R_Chromosome,-,denovo,1,STRG.15220.1,21721096,21721488,1,STRG.15220.1_1_280_378,21721107,21721208,intergenic_transcripts
STRG.15248,3R_Chromosome,+,denovo,1,STRG.15248.1,21986747,21991862,1,STRG.15248.1_6_1283_1552,21989968,21990240,intergenic_transcripts
STRG.15369,3R_Chromosome,-,denovo,1,STRG.15369.1,22787090,22788360,1,STRG.15369.1_1_114_236,22788065,22788190,intergenic_transcripts
STRG.15414,3R_Chromosome,-,denovo,1,STRG.15414.1,23183946,23185170,1,STRG.15414.1_1_500_640,23184368,23184576,intergenic_transcripts
STRG.15447,3R_Chromosome,-,denovo,1,STRG.15447.1,23345062,23346502,1,STRG.15447.1_2_668_853,23345509,23345697,intergenic_transcripts
STRG.15567,3R_Chromosome,+,denovo,3,STRG.15567.3,24400787,24411038,1,STRG.15567.3_17_72_464,24400857,24401252,intergenic_transcripts
STRG.15737,3R_Chromosome,+,denovo,1,STRG.15737.1,25771078,25776546,1,STRG.15737.1_11_126_437,25771202,25771516,intergenic_transcripts
STRG.15755,3R_Chromosome,+,denovo,1,STRG.15755.1,25936980,25938225,1,STRG.15755.1_5_836_1051,25937888,25938106,intergenic_transcripts
STRG.15815,3R_Chromosome,+,denovo,3,STRG.15815.2,26365153,26366169,1,STRG.15815.2_1_616_738,26365767,26365892,intergenic_transcripts
STRG.16035,3R_Chromosome,+,denovo,1,STRG.16035.1,27788890,27791701,1,STRG.16035.1_2_1636_1896,27791319,27791582,intergenic_transcripts
STRG.16297,Y_Chromosome,+,denovo,2,STRG.16297.1,440969,448187,1,STRG.16297.1_2_143_373,441110,441343,intergenic_transcripts
