gene_name,chromosome,orientation,putative_genic_variant,nb_denovo_transcripts,transcript_name,transcript_start_in_genome_B1,transcript_end_in_genome_B1,nb_filtered_orf,neORF_candidate,neORF_start_in_genome_B0,neORF_end_in_genome_B0,genomic_overlap
STRG.2875,2R_Chromosome,+,denovo,1,STRG.2875.1,21968591,21969737,1,STRG.2875.1_2_84_209,21968673,21968801,intergenic_transcripts
STRG.2947,2R_Chromosome,-,denovo,2,STRG.2947.1,22388235,22389737,1,STRG.2947.1_1_170_535,22389199,22389567,intergenic_transcripts
STRG.3360,3L_Chromosome,-,denovo,1,STRG.3360.2,833046,849651,1,STRG.3360.2_6_5215_5739,843909,844436,intergenic_transcripts
STRG.3613,3L_Chromosome,+,denovo,1,STRG.3613.1,2697471,2728599,1,STRG.3613.1_2_654_1082,2727694,2728125,intergenic_transcripts
STRG.3719,3L_Chromosome,+,denovo,1,STRG.3719.1,3599752,3601959,1,STRG.3719.1_1_49_426,3599799,3600179,intergenic_transcripts
STRG.3731,3L_Chromosome,+,denovo,1,STRG.3731.1,3671221,3673188,1,STRG.3731.1_2_1508_1717,3672727,3672939,intergenic_transcripts
STRG.3908,3L_Chromosome,+,denovo,1,STRG.3908.1,5154390,5155773,1,STRG.3908.1_4_582_890,5154970,5155331,intergenic_transcripts
STRG.3920,3L_Chromosome,-,denovo,1,STRG.3920.1,5279971,5281845,1,STRG.3920.1_3_186_341,5280462,5281659,intergenic_transcripts
STRG.3927,3L_Chromosome,-,denovo,1,STRG.3927.1,5446815,5447372,1,STRG.3927.1_1_27_128,5447241,5447345,intergenic_transcripts
STRG.3945,3L_Chromosome,+,denovo,1,STRG.3945.1,5626030,5683983,1,STRG.3945.1_2_760_1179,5626788,5627210,intergenic_transcripts
STRG.3947,3L_Chromosome,+,denovo,1,STRG.3947.1,5633857,5687382,1,STRG.3947.1_3_747_1235,5634602,5635093,intergenic_transcripts
STRG.4635,3L_Chromosome,+,denovo,2,STRG.4635.2,10346045,10351343,1,STRG.4635.2_8_1367_1708,10347410,10347754,intergenic_transcripts
STRG.4647,3L_Chromosome,-,denovo,1,STRG.4647.1,10369181,10377732,1,STRG.4647.1_3_2719_2994,10374735,10375013,intergenic_transcripts
STRG.4648,3L_Chromosome,+,denovo,2,STRG.4648.2,10362983,10405378,1,STRG.4648.2_1_229_612,10363210,10363596,intergenic_transcripts
STRG.4648,3L_Chromosome,+,denovo,2,STRG.4648.4,10369181,10377732,1,STRG.4648.4_23_8253_8543,10377432,10377725,intergenic_transcripts
STRG.4650,3L_Chromosome,-,denovo,2,STRG.4650.1,10385172,10405378,1,STRG.4650.1_27_10112_10432,10394943,10395266,intergenic_transcripts
STRG.4652,3L_Chromosome,+,denovo,1,STRG.4652.1,10405452,10414438,1,STRG.4652.1_11_1070_1405,10406520,10406858,intergenic_transcripts
STRG.4697,3L_Chromosome,-,denovo,1,STRG.4697.1,10755821,10767974,1,STRG.4697.1_28_546_1136,10766835,10767428,intergenic_transcripts
STRG.4739,3L_Chromosome,-,denovo,1,STRG.4739.1,10965403,10977060,1,STRG.4739.1_1_3340_3834,10973223,10973720,intergenic_transcripts
STRG.4759,3L_Chromosome,+,denovo,1,STRG.4759.1,11134311,11135568,1,STRG.4759.1_1_253_504,11134562,11135308,intergenic_transcripts
STRG.5061,3L_Chromosome,-,denovo,1,STRG.5061.1,12909880,12910407,1,STRG.5061.1_1_194_346,12910058,12910213,intergenic_transcripts
STRG.5138,3L_Chromosome,-,denovo,1,STRG.5138.2,13386037,13389551,1,STRG.5138.2_6_2786_3079,13386414,13386710,intergenic_transcripts
STRG.5151,3L_Chromosome,-,denovo,1,STRG.5151.1,13441208,13442264,1,STRG.5151.1_3_564_734,13441343,13441516,intergenic_transcripts
STRG.5796,3L_Chromosome,+,denovo,1,STRG.5796.1,18037383,18038944,1,STRG.5796.1_2_696_971,18038595,18038929,intergenic_transcripts
STRG.5852,3L_Chromosome,-,denovo,1,STRG.5852.1,18588247,18591441,1,STRG.5852.1_9_1677_1946,18589492,18589764,intergenic_transcripts
STRG.6201,3L_Chromosome,-,denovo,5,STRG.6201.5,20860286,20880513,1,STRG.6201.5_4_4807_5130,20875380,20875706,intergenic_transcripts
STRG.6206,3L_Chromosome,-,denovo,1,STRG.6206.2,20974324,20975091,1,STRG.6206.2_1_320_550,20974538,20974771,intergenic_transcripts
STRG.6557,3L_Chromosome,-,denovo,1,STRG.6557.2,23750171,23751942,1,STRG.6557.2_2_804_1181,23750758,23751138,intergenic_transcripts
STRG.6620,3L_Chromosome,-,denovo,1,STRG.6620.1,24082946,24083359,1,STRG.6620.1_1_44_232,24083124,24083315,intergenic_transcripts
STRG.6649,3L_Chromosome,+,denovo,5,STRG.6649.5,24397668,24401434,1,STRG.6649.5_6_348_635,24398131,24398421,intergenic_transcripts
STRG.6935,3L_Chromosome,+,denovo,1,STRG.6935.1,26439319,26456365,1,STRG.6935.1_2_2110_2343,26441427,26441663,intergenic_transcripts
STRG.7067,3L_Chromosome,+,denovo,1,STRG.7067.1,28310770,28311704,1,STRG.7067.1_1_253_426,28311021,28311197,intergenic_transcripts
STRG.7068,3L_Chromosome,+,denovo,1,STRG.7068.1,28318816,28319708,1,STRG.7068.1_1_230_403,28319044,28319220,intergenic_transcripts
STRG.7071,3L_Chromosome,-,denovo,1,STRG.7071.1,28359709,28367596,1,STRG.7071.1_14_7335_7646,28359947,28360261,intergenic_transcripts
STRG.7072,3L_Chromosome,-,denovo,1,STRG.7072.1,28319767,28321779,1,STRG.7072.1_2_1111_1248,28320528,28320668,intergenic_transcripts
STRG.7356,2L_Chromosome,+,denovo,1,STRG.7356.1,2211775,2219637,1,STRG.7356.1_3_2086_2475,2213859,2214251,intergenic_transcripts
STRG.7394,2L_Chromosome,-,denovo,1,STRG.7394.1,2345869,2346543,1,STRG.7394.1_2_401_514,2345942,2346058,intergenic_transcripts
STRG.7567,2L_Chromosome,+,denovo,1,STRG.7567.1,3571774,3572358,1,STRG.7567.1_1_142_291,3571914,3572129,intergenic_transcripts
STRG.7752,2L_Chromosome,+,denovo,1,STRG.7752.1,5124193,5126926,1,STRG.7752.1_2_718_882,5126516,5126683,intergenic_transcripts
STRG.7756,2L_Chromosome,-,denovo,1,STRG.7756.1,5131523,5135263,1,STRG.7756.1_5_2135_2824,5132436,5133128,intergenic_transcripts
STRG.7758,2L_Chromosome,-,denovo,4,STRG.7758.4,5154451,5165588,1,STRG.7758.4_19_7163_7822,5157708,5158425,intergenic_transcripts
STRG.7851,2L_Chromosome,-,denovo,1,STRG.7851.1,5843959,5844961,1,STRG.7851.1_2_466_657,5843996,5844190,intergenic_transcripts
STRG.8079,2L_Chromosome,+,denovo,1,STRG.8079.1,7346406,7349144,1,STRG.8079.1_10_2169_2477,7348573,7348884,intergenic_transcripts
STRG.8116,2L_Chromosome,+,denovo,1,STRG.8116.1,7659709,7666386,1,STRG.8116.1_3_549_758,7665670,7665882,intergenic_transcripts
STRG.8282,2L_Chromosome,-,denovo,2,STRG.8282.3,8895057,8897756,1,STRG.8282.3_5_737_1048,8896705,8897019,intergenic_transcripts
STRG.8405,2L_Chromosome,+,denovo,1,STRG.8405.1,9377727,9386593,1,STRG.8405.1_6_7669_7962,9385394,9385690,intergenic_transcripts
STRG.8406,2L_Chromosome,+,denovo,1,STRG.8406.1,9386793,9400791,1,STRG.8406.1_13_518_973,9387309,9387767,intergenic_transcripts
STRG.8462,2L_Chromosome,-,denovo,1,STRG.8462.3,9915296,9916742,1,STRG.8462.3_2_236_394,9915404,9915565,intergenic_transcripts
STRG.8499,2L_Chromosome,-,denovo,2,STRG.8499.2,10221100,10222585,1,STRG.8499.2_4_101_235,10222347,10222484,intergenic_transcripts
STRG.8720,2L_Chromosome,+,denovo,1,STRG.8720.2,11330185,11330811,1,STRG.8720.2_1_85_222,11330268,11330408,intergenic_transcripts
STRG.8846,2L_Chromosome,-,denovo,3,STRG.8846.1,12232951,12253213,1,STRG.8846.1_24_1443_1724,12240041,12240325,intergenic_transcripts
STRG.8846,2L_Chromosome,-,denovo,3,STRG.8846.2,12232951,12253213,1,STRG.8846.2_2_3001_3306,12241716,12242024,intergenic_transcripts
STRG.8846,2L_Chromosome,-,denovo,3,STRG.8846.3,12232951,12253213,1,STRG.8846.3_8_7270_7671,12245539,12245943,intergenic_transcripts
STRG.8882,2L_Chromosome,+,denovo,1,STRG.8882.1,12374896,12375494,1,STRG.8882.1_2_92_277,12374986,12375174,intergenic_transcripts
STRG.9220,2L_Chromosome,-,denovo,1,STRG.9220.1,15014148,15014933,1,STRG.9220.1_2_640_753,15014177,15014293,intergenic_transcripts
STRG.9295,2L_Chromosome,+,denovo,1,STRG.9295.1,15553199,15554129,1,STRG.9295.1_2_207_410,15553459,15553665,intergenic_transcripts
STRG.9355,2L_Chromosome,-,denovo,1,STRG.9355.1,15841963,15843479,1,STRG.9355.1_3_45_242,15843164,15843434,intergenic_transcripts
STRG.9406,2L_Chromosome,+,denovo,2,STRG.9406.2,16240820,16246840,1,STRG.9406.2_3_504_893,16241322,16241714,intergenic_transcripts
STRG.9449,2L_Chromosome,-,denovo,1,STRG.9449.1,16578849,16579520,1,STRG.9449.1_1_280_408,16579026,16579157,intergenic_transcripts
STRG.9680,2L_Chromosome,-,denovo,1,STRG.9680.2,18665598,18669237,1,STRG.9680.2_4_264_446,18666028,18666213,intergenic_transcripts
STRG.9868,2L_Chromosome,+,denovo,1,STRG.9868.1,20124509,20125200,1,STRG.9868.1_2_232_426,20124739,20124936,intergenic_transcripts
STRG.10045,2L_Chromosome,+,denovo,1,STRG.10045.1,21215299,21219803,1,STRG.10045.1_5_2395_2679,21217692,21217979,intergenic_transcripts
STRG.10048,2L_Chromosome,+,denovo,1,STRG.10048.1,21225544,21226507,1,STRG.10048.1_1_185_304,21225727,21225849,intergenic_transcripts
STRG.10511,X_Chromosome,+,denovo,6,STRG.10511.6,568982,598162,1,STRG.10511.6_17_3032_3565,589177,589713,intergenic_transcripts
STRG.10646,X_Chromosome,+,denovo,1,STRG.10646.2,1697372,1699911,1,STRG.10646.2_9_306_689,1697676,1698062,intergenic_transcripts
STRG.10751,X_Chromosome,+,denovo,1,STRG.10751.1,2481546,2483521,1,STRG.10751.1_3_1498_1812,2483042,2483359,intergenic_transcripts
STRG.10903,X_Chromosome,-,denovo,1,STRG.10903.1,3392555,3393661,1,STRG.10903.1_2_531_713,3392945,3393130,intergenic_transcripts
STRG.11287,X_Chromosome,+,denovo,1,STRG.11287.1,6427597,6434712,1,STRG.11287.1_2_378_485,6434034,6434144,intergenic_transcripts
STRG.11556,X_Chromosome,+,denovo,1,STRG.11556.1,8310647,8311924,1,STRG.11556.1_1_510_620,8311529,8311642,intergenic_transcripts
STRG.11838,X_Chromosome,+,denovo,3,STRG.11838.1,11089853,11148588,1,STRG.11838.1_1_80_301,11089931,11090155,intergenic_transcripts
STRG.11838,X_Chromosome,+,denovo,3,STRG.11838.2,11089853,11148588,1,STRG.11838.2_1_80_208,11089931,11090571,intergenic_transcripts
STRG.11838,X_Chromosome,+,denovo,3,STRG.11838.3,11089853,11135534,1,STRG.11838.3_45_4872_5333,11123273,11123737,intergenic_transcripts
STRG.11917,X_Chromosome,-,denovo,1,STRG.11917.1,11904292,11905518,1,STRG.11917.1_4_438_605,11904696,11904866,intergenic_transcripts
STRG.11944,X_Chromosome,+,denovo,1,STRG.11944.1,12191129,12195670,1,STRG.11944.1_8_2235_2480,12193362,12193610,intergenic_transcripts
STRG.11965,X_Chromosome,+,denovo,1,STRG.11965.2,12391342,12392947,1,STRG.11965.2_1_730_1212,12392070,12392555,intergenic_transcripts
STRG.11999,X_Chromosome,+,denovo,2,STRG.11999.1,12686667,12692715,1,STRG.11999.1_3_841_1185,12692239,12692586,intergenic_transcripts
STRG.12413,X_Chromosome,+,denovo,1,STRG.12413.1,16146003,16146544,1,STRG.12413.1_1_7_132,16146008,16146136,intergenic_transcripts
STRG.12546,X_Chromosome,+,denovo,2,STRG.12546.1,17232347,17233429,1,STRG.12546.1_2_581_874,17232926,17233222,intergenic_transcripts
STRG.12546,X_Chromosome,+,denovo,2,STRG.12546.3,17241277,17242094,1,STRG.12546.3_4_83_622,17241358,17241900,intergenic_transcripts
STRG.12621,X_Chromosome,+,denovo,1,STRG.12621.2,17879302,17905429,1,STRG.12621.2_15_1829_2173,17893594,17893941,intergenic_transcripts
STRG.12716,X_Chromosome,-,denovo,1,STRG.12716.1,18759571,18762534,1,STRG.12716.1_9_2490_2705,18759826,18760044,intergenic_transcripts
STRG.12987,X_Chromosome,-,denovo,1,STRG.12987.1,20788199,20803673,1,STRG.12987.1_22_2468_2833,20800837,20801205,intergenic_transcripts
STRG.13012,X_Chromosome,+,denovo,1,STRG.13012.1,20890349,20916149,1,STRG.13012.1_1_388_696,20890735,20891046,intergenic_transcripts
STRG.13934,3R_Chromosome,+,denovo,2,STRG.13934.1,5001230,5005998,1,STRG.13934.1_3_471_581,5005835,5005948,intergenic_transcripts
STRG.13934,3R_Chromosome,+,denovo,2,STRG.13934.2,5005165,5005407,1,STRG.13934.2_1_63_167,5005226,5005333,intergenic_transcripts
STRG.14100,3R_Chromosome,+,denovo,1,STRG.14100.1,6283281,6284424,1,STRG.14100.1_1_156_548,6283656,6284051,intergenic_transcripts
STRG.14219,3R_Chromosome,+,denovo,1,STRG.14219.1,7223636,7224118,1,STRG.14219.1_1_275_391,7223909,7224028,intergenic_transcripts
STRG.14557,3R_Chromosome,-,denovo,1,STRG.14557.1,10164078,10165181,1,STRG.14557.1_1_10_222,10164956,10165171,intergenic_transcripts
STRG.14582,3R_Chromosome,-,denovo,1,STRG.14582.1,10346743,10348027,1,STRG.14582.1_1_131_424,10346786,10347896,intergenic_transcripts
STRG.14646,3R_Chromosome,+,denovo,3,STRG.14646.4,11014860,11024524,1,STRG.14646.4_1_1240_1683,11016480,11016926,intergenic_transcripts
STRG.14674,3R_Chromosome,-,denovo,3,STRG.14674.4,11151170,11159706,1,STRG.14674.4_7_1244_1771,11157494,11158024,intergenic_transcripts
STRG.15274,3R_Chromosome,+,denovo,1,STRG.15274.1,15553527,15553910,1,STRG.15274.1_1_6_158,15553531,15553686,intergenic_transcripts
STRG.15617,3R_Chromosome,-,denovo,3,STRG.15617.3,18332909,18333678,1,STRG.15617.3_1_250_426,18333085,18333264,intergenic_transcripts
STRG.15811,3R_Chromosome,+,denovo,1,STRG.15811.2,19895544,19896496,1,STRG.15811.2_1_85_333,19895627,19895878,intergenic_transcripts
STRG.15900,3R_Chromosome,+,denovo,3,STRG.15900.1,20644377,20660538,1,STRG.15900.1_7_3107_3433,20647482,20647811,intergenic_transcripts
STRG.16130,3R_Chromosome,-,denovo,1,STRG.16130.1,22697666,22717493,1,STRG.16130.1_4_227_499,22699009,22699284,intergenic_transcripts
STRG.16162,3R_Chromosome,-,denovo,1,STRG.16162.1,22904767,22933049,1,STRG.16162.1_4_1138_1395,22905080,22905466,intergenic_transcripts
STRG.16291,3R_Chromosome,-,denovo,2,STRG.16291.2,23794838,23796005,1,STRG.16291.2_1_366_596,23795406,23795639,intergenic_transcripts
STRG.16515,3R_Chromosome,-,denovo,1,STRG.16515.1,25085362,25086625,1,STRG.16515.1_2_701_886,25085599,25085787,intergenic_transcripts
STRG.16522,3R_Chromosome,-,denovo,1,STRG.16522.1,25122567,25131522,1,STRG.16522.1_11_3270_3908,25124140,25124781,intergenic_transcripts
STRG.16836,3R_Chromosome,+,denovo,2,STRG.16836.1,27726205,27727223,1,STRG.16836.1_1_394_588,27726597,27726794,intergenic_transcripts
STRG.17021,3R_Chromosome,+,denovo,2,STRG.17021.2,28920853,28921966,1,STRG.17021.2_1_417_680,28921345,28921671,intergenic_transcripts
STRG.17025,3R_Chromosome,+,denovo,1,STRG.17025.1,28979446,28980411,1,STRG.17025.1_1_18_203,28979462,28979650,intergenic_transcripts
